schema,routine,arguments,return_type,language,security
core,compute_employee_key,"p_matricule text, p_nom text",character varying,plpgsql,SECURITY INVOKER
core,immutable_unaccent,text,text,plpgsql,SECURITY INVOKER
core,update_timestamp,,trigger,plpgsql,SECURITY INVOKER
core,update_updated_at_column,,trigger,plpgsql,SECURITY INVOKER
payroll,auto_calc_period_seq,,trigger,plpgsql,SECURITY INVOKER
payroll,check_pay_date_consistency,,trigger,plpgsql,SECURITY INVOKER
payroll,check_transaction_pay_date,,trigger,plpgsql,SECURITY INVOKER
payroll,ensure_period,p_date date,uuid,plpgsql,SECURITY INVOKER
payroll,get_stats_nouveaux_date,p_pay_date date,"TABLE(batch_id integer, pay_date date, filename character varying, total_employes bigint, nouveaux_employes bigint, anciens_employes bigint, max_precedent integer, max_actuel integer, date_precedente date, liste_nouveaux character varying)",plpgsql,SECURITY INVOKER
public,armor,bytea,text,c,SECURITY INVOKER
public,armor,"bytea, text[], text[]",text,c,SECURITY INVOKER
public,cash_dist,"money, money",money,c,SECURITY INVOKER
public,crypt,"text, text",text,c,SECURITY INVOKER
public,date_dist,"date, date",integer,c,SECURITY INVOKER
public,dearmor,text,bytea,c,SECURITY INVOKER
public,decrypt,"bytea, bytea, text",bytea,c,SECURITY INVOKER
public,decrypt_iv,"bytea, bytea, bytea, text",bytea,c,SECURITY INVOKER
public,digest,"text, text",bytea,c,SECURITY INVOKER
public,digest,"bytea, text",bytea,c,SECURITY INVOKER
public,encrypt,"bytea, bytea, text",bytea,c,SECURITY INVOKER
public,encrypt_iv,"bytea, bytea, bytea, text",bytea,c,SECURITY INVOKER
public,float4_dist,"real, real",real,c,SECURITY INVOKER
public,float8_dist,"double precision, double precision",double precision,c,SECURITY INVOKER
public,gbt_bit_compress,internal,internal,c,SECURITY INVOKER
public,gbt_bit_consistent,"internal, bit, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_bit_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_bit_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_bit_same,"gbtreekey_var, gbtreekey_var, internal",internal,c,SECURITY INVOKER
public,gbt_bit_union,"internal, internal",gbtreekey_var,c,SECURITY INVOKER
public,gbt_bool_compress,internal,internal,c,SECURITY INVOKER
public,gbt_bool_consistent,"internal, boolean, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_bool_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_bool_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_bool_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_bool_same,"gbtreekey2, gbtreekey2, internal",internal,c,SECURITY INVOKER
public,gbt_bool_union,"internal, internal",gbtreekey2,c,SECURITY INVOKER
public,gbt_bpchar_compress,internal,internal,c,SECURITY INVOKER
public,gbt_bpchar_consistent,"internal, character, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_bytea_compress,internal,internal,c,SECURITY INVOKER
public,gbt_bytea_consistent,"internal, bytea, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_bytea_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_bytea_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_bytea_same,"gbtreekey_var, gbtreekey_var, internal",internal,c,SECURITY INVOKER
public,gbt_bytea_union,"internal, internal",gbtreekey_var,c,SECURITY INVOKER
public,gbt_cash_compress,internal,internal,c,SECURITY INVOKER
public,gbt_cash_consistent,"internal, money, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_cash_distance,"internal, money, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_cash_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_cash_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_cash_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_cash_same,"gbtreekey16, gbtreekey16, internal",internal,c,SECURITY INVOKER
public,gbt_cash_union,"internal, internal",gbtreekey16,c,SECURITY INVOKER
public,gbt_date_compress,internal,internal,c,SECURITY INVOKER
public,gbt_date_consistent,"internal, date, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_date_distance,"internal, date, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_date_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_date_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_date_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_date_same,"gbtreekey8, gbtreekey8, internal",internal,c,SECURITY INVOKER
public,gbt_date_union,"internal, internal",gbtreekey8,c,SECURITY INVOKER
public,gbt_decompress,internal,internal,c,SECURITY INVOKER
public,gbt_enum_compress,internal,internal,c,SECURITY INVOKER
public,gbt_enum_consistent,"internal, anyenum, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_enum_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_enum_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_enum_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_enum_same,"gbtreekey8, gbtreekey8, internal",internal,c,SECURITY INVOKER
public,gbt_enum_union,"internal, internal",gbtreekey8,c,SECURITY INVOKER
public,gbt_float4_compress,internal,internal,c,SECURITY INVOKER
public,gbt_float4_consistent,"internal, real, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_float4_distance,"internal, real, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_float4_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_float4_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_float4_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_float4_same,"gbtreekey8, gbtreekey8, internal",internal,c,SECURITY INVOKER
public,gbt_float4_union,"internal, internal",gbtreekey8,c,SECURITY INVOKER
public,gbt_float8_compress,internal,internal,c,SECURITY INVOKER
public,gbt_float8_consistent,"internal, double precision, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_float8_distance,"internal, double precision, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_float8_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_float8_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_float8_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_float8_same,"gbtreekey16, gbtreekey16, internal",internal,c,SECURITY INVOKER
public,gbt_float8_union,"internal, internal",gbtreekey16,c,SECURITY INVOKER
public,gbt_inet_compress,internal,internal,c,SECURITY INVOKER
public,gbt_inet_consistent,"internal, inet, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_inet_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_inet_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_inet_same,"gbtreekey16, gbtreekey16, internal",internal,c,SECURITY INVOKER
public,gbt_inet_union,"internal, internal",gbtreekey16,c,SECURITY INVOKER
public,gbt_int2_compress,internal,internal,c,SECURITY INVOKER
public,gbt_int2_consistent,"internal, smallint, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_int2_distance,"internal, smallint, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_int2_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_int2_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_int2_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_int2_same,"gbtreekey4, gbtreekey4, internal",internal,c,SECURITY INVOKER
public,gbt_int2_union,"internal, internal",gbtreekey4,c,SECURITY INVOKER
public,gbt_int4_compress,internal,internal,c,SECURITY INVOKER
public,gbt_int4_consistent,"internal, integer, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_int4_distance,"internal, integer, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_int4_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_int4_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_int4_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_int4_same,"gbtreekey8, gbtreekey8, internal",internal,c,SECURITY INVOKER
public,gbt_int4_union,"internal, internal",gbtreekey8,c,SECURITY INVOKER
public,gbt_int8_compress,internal,internal,c,SECURITY INVOKER
public,gbt_int8_consistent,"internal, bigint, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_int8_distance,"internal, bigint, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_int8_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_int8_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_int8_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_int8_same,"gbtreekey16, gbtreekey16, internal",internal,c,SECURITY INVOKER
public,gbt_int8_union,"internal, internal",gbtreekey16,c,SECURITY INVOKER
public,gbt_intv_compress,internal,internal,c,SECURITY INVOKER
public,gbt_intv_consistent,"internal, interval, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_intv_decompress,internal,internal,c,SECURITY INVOKER
public,gbt_intv_distance,"internal, interval, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_intv_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_intv_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_intv_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_intv_same,"gbtreekey32, gbtreekey32, internal",internal,c,SECURITY INVOKER
public,gbt_intv_union,"internal, internal",gbtreekey32,c,SECURITY INVOKER
public,gbt_macad8_compress,internal,internal,c,SECURITY INVOKER
public,gbt_macad8_consistent,"internal, macaddr8, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_macad8_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_macad8_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_macad8_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_macad8_same,"gbtreekey16, gbtreekey16, internal",internal,c,SECURITY INVOKER
public,gbt_macad8_union,"internal, internal",gbtreekey16,c,SECURITY INVOKER
public,gbt_macad_compress,internal,internal,c,SECURITY INVOKER
public,gbt_macad_consistent,"internal, macaddr, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_macad_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_macad_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_macad_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_macad_same,"gbtreekey16, gbtreekey16, internal",internal,c,SECURITY INVOKER
public,gbt_macad_union,"internal, internal",gbtreekey16,c,SECURITY INVOKER
public,gbt_numeric_compress,internal,internal,c,SECURITY INVOKER
public,gbt_numeric_consistent,"internal, numeric, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_numeric_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_numeric_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_numeric_same,"gbtreekey_var, gbtreekey_var, internal",internal,c,SECURITY INVOKER
public,gbt_numeric_union,"internal, internal",gbtreekey_var,c,SECURITY INVOKER
public,gbt_oid_compress,internal,internal,c,SECURITY INVOKER
public,gbt_oid_consistent,"internal, oid, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_oid_distance,"internal, oid, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_oid_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_oid_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_oid_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_oid_same,"gbtreekey8, gbtreekey8, internal",internal,c,SECURITY INVOKER
public,gbt_oid_union,"internal, internal",gbtreekey8,c,SECURITY INVOKER
public,gbt_text_compress,internal,internal,c,SECURITY INVOKER
public,gbt_text_consistent,"internal, text, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_text_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_text_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_text_same,"gbtreekey_var, gbtreekey_var, internal",internal,c,SECURITY INVOKER
public,gbt_text_union,"internal, internal",gbtreekey_var,c,SECURITY INVOKER
public,gbt_time_compress,internal,internal,c,SECURITY INVOKER
public,gbt_time_consistent,"internal, time without time zone, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_time_distance,"internal, time without time zone, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_time_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_time_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_time_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_time_same,"gbtreekey16, gbtreekey16, internal",internal,c,SECURITY INVOKER
public,gbt_time_union,"internal, internal",gbtreekey16,c,SECURITY INVOKER
public,gbt_timetz_compress,internal,internal,c,SECURITY INVOKER
public,gbt_timetz_consistent,"internal, time with time zone, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_ts_compress,internal,internal,c,SECURITY INVOKER
public,gbt_ts_consistent,"internal, timestamp without time zone, smallint, oid, internal",boolean,c,SECURITY INVOKER
public,gbt_ts_distance,"internal, timestamp without time zone, smallint, oid, internal",double precision,c,SECURITY INVOKER
public,gbt_ts_fetch,internal,internal,c,SECURITY INVOKER
public,gbt_ts_penalty,"internal, internal, internal",internal,c,SECURITY INVOKER
public,gbt_ts_picksplit,"internal, internal",internal,c,SECURITY INVOKER
public,gbt_ts_same,"gbtreekey16, gbtreekey16, internal",internal,c,SECURITY INVOKER
